"","siteId","yr","richness_xbar","abund_xbar","density_xbar","labSplit","fieldSplit","area","mesh","siteLatitude","siteLongitude","COMID"
"42",2791,2004,21.5,656,12109.9163679809,0.25,1,0.279,300,41.9781,-111.8285,4563112
"43",2793,2002,30,774,22193.5483870968,0.125,1,0.279,30,41.94375,-111.837222,4563184
"44",2793,2003,22.5,647.5,10162.2222222222,0.21875,1,0.3,300,41.94375,-111.837222,4563184
"45",2793,2004,27,649,2163.33333333333,1,1,0.3,300,41.94375,-111.837222,4563184
"46",2793,2006,24,631,11217.7777777778,0.1875,1,0.3,500,41.94375,-111.837222,4563184
"47",2793,2011,20,718,15524.3243243243,0.0625,1,0.74,NA,41.94375,-111.837222,4563184
"48",2794,1998,18,144,480,1,1,0.3,300,41.925,-111.8514,4563250
"49",2794,1999,17,500,26666.6666666667,0.0625,1,0.3,300,41.925,-111.8514,4563250
"50",2795,2001,10,565,4050.17921146953,0.5,1,0.279,300,41.6644,-111.885,664666
"51",2796,1998,26,520,10083.3818111305,0.1719,1,0.3,300,41.9761,-111.8156,4563110
"52",2797,2008,26.5,700,8646.67226641633,0.1094,1,0.74,500,41.72111111,-111.9272222,664470
"53",2799,2002,13,765,7311.82795698925,0.375,1,0.279,30,41.6681,-111.8897,664666
"54",2800,2008,20,694,937.837837837838,1,1,0.74,NA,41.65416667,-111.8880556,664666
"55",2801,2002,21,664,4759.85663082437,0.5,1,0.279,30,41.6983,-111.8914,664566
"56",2802,2008,21,622,1461.80963572268,0.575,1,0.74,NA,41.69833333,-111.8913889,664566
"57",2804,2000,35,503,2235.55555555556,0.75,1,0.3,300,41.7189,-111.945,664556
"58",2804,2004,14,622,11057.7777777778,0.1875,1,0.3,300,41.7189,-111.945,664556
"59",2805,2005,14,598,7973.33333333333,0.25,1,0.3,300,41.718889,-111.945,664556
"60",2806,2008,31,666,1800,0.5,1,0.74,NA,41.69166667,-111.9375,664618
"61",2807,2019,45,909,3930.81081081081,0.3125,1,0.74,NA,41.706403,-111.862222,664528
"62",2807,2021,28,614,3318.91891891892,0.25,1,0.74,NA,41.706403,-111.862222,664528
"63",2808,2019,15,676,3654.05405405405,0.25,1,0.74,NA,41.71316,-111.87337,664486
"64",2809,2019,26,707,2183.78378378378,0.4375,1,0.74,NA,41.70604,-111.9488,664556
"65",2809,2021,36,1091,3931.53153153153,0.375,1,0.74,NA,41.70604,-111.9488,664556
"66",2810,2019,41,739,3759.97232171931,0.2656,1,0.74,NA,41.71595,-111.83979,664510
"67",2810,2021,34,694,1250.45045045045,0.75,1,0.74,NA,41.71595,-111.83979,664510
"68",2811,2007,44,700,1513.51351351351,0.625,1,0.74,500,41.72138889,-111.8338889,664510
"69",2812,2019,38,860,3718.91891891892,0.3125,1,0.74,NA,41.72246933,-111.8330536,664510
"70",2812,2020,20,746,21390.6810035842,0.125,1,0.279,NA,41.72246933,-111.8330536,664510
"71",2812,2021,19,894,9664.86486486487,0.125,1,0.74,NA,41.72246933,-111.8330536,664510
"72",2813,2019,24,677,9816.14661872172,0.0932,1,0.74,NA,41.73926926,-111.7957611,664436
"73",2814,1998,32,503,17874.9111584933,0.0938,1,0.3,300,41.7433,-111.7836,664424
"74",2817,1998,34,556,3706.66666666667,0.5,1,0.3,300,41.6267,-111.8,666246
"75",2817,1999,25,509,9048.88888888889,0.1875,1,0.3,300,41.6267,-111.8,666246
"76",2818,2008,25,677,7318.91891891892,0.125,1,0.74,NA,41.66666667,-111.9166667,666218
"77",2818,2010,22,618,2893.89557964836,0.289075,1,0.74,NA,41.66666667,-111.9166667,666218
"78",2819,2010,21,620,3308.96067602029,0.257825,1,0.74,NA,41.6666,-111.92189,664654
"79",2820,1998,26,524,6986.66666666667,0.25,1,0.3,300,41.6433,-111.9147,664760
"80",2820,1999,26.5,530,10015.2457030742,0.49065,1,0.3,300,41.6433,-111.9147,664760
"81",2820,2000,30,604,21333.3623346021,0.1244,1,0.3,300,41.6433,-111.9147,664760
"82",2820,2001,28.5,697,12211.1294525835,0.5469,1,0.279,400,41.6433,-111.9147,664760
"83",2820,2002,25,513,14709.6774193548,0.125,1,0.279,500,41.6433,-111.9147,664760
"84",2820,2003,31,718,9385.62091503268,0.255,1,0.3,300,41.6433,-111.9147,664760
"85",2820,2004,25,655,8733.33333333333,0.25,1,0.3,300,41.6433,-111.9147,664760
"86",2820,2005,25,589,10471.1111111111,0.1875,1,0.3,300,41.6433,-111.9147,664760
"87",2821,2008,19,636,5001.21885050602,0.17185,1,0.74,NA,41.64333333,-111.9147222,664760
"88",2822,1999,37,620,8266.66666666667,0.25,1,0.3,300,41.5361,-111.83,664976
"89",2822,2000,30,517.5,18462.2222222222,0.125,1,0.3,300,41.5361,-111.83,664976
"90",2822,2001,36.5,515.5,13196.5409778548,0.14065,1,0.279,400,41.5361,-111.83,664976
"91",2822,2002,33,523,3749.10394265233,0.5,1,0.279,500,41.5361,-111.83,664976
"92",2822,2003,31,594,5280,0.375,1,0.3,300,41.5361,-111.83,664976
"93",2822,2005,34,591,21002.132196162,0.0938,1,0.3,300,41.5361,-111.83,664976
"94",2823,2006,32,604,21487.0152970473,0.0937,1,0.3,500,41.521944,-111.815278,665054
"95",2824,2006,35,657,35040,0.0625,1,0.3,500,41,-111.816944,7913954
"96",2825,2005,34,572,7395.9141453323,0.2578,1,0.3,300,41.518889,-111.745,666228
"97",2827,1999,18,513,21895.0064020487,0.0781,1,0.3,300,41.7772,-111.0728,7879290
"98",2827,2003,24,461,1536.66666666667,1,1,0.3,300,41.7772,-111.0728,7879290
"99",2827,2004,7,47,156.666666666667,1,1,0.3,300,41.7772,-111.0728,7879290
"100",2828,2007,44,663,3583.78378378378,0.25,1,0.74,500,41.72694444,-111.2544444,7879350
"101",2829,2007,26,540,11675.6756756757,0.0625,1,0.74,500,41.58638889,-111.3072222,7879594
"102",2830,2008,15,596,12886.4864864865,0.0625,1,0.74,NA,41.43447222,-111.1603333,7882612
"103",2831,2012,28,635,3432.43243243243,0.25,1,0.74,NA,41.60471,-111.27341,7879582
"104",2832,2012,49,846,9145.94594594595,0.125,1,0.74,NA,41.6201,-111.76057,666152
"105",2833,2012,22,663,4778.37837837838,0.1875,1,0.74,NA,41.68061,-111.93648,664654
"106",2834,2012,46,775,5585.58558558559,0.1875,1,0.74,NA,40.89189,-110.94701,7888046
"107",2835,2012,18,959,10367.5675675676,0.125,1,0.74,NA,41.63472,-111.89961,664760
"108",2836,2012,22,802,4335.13513513513,0.25,1,0.74,NA,40.85784,-110.86901,7888160
"109",2837,2012,24,690.5,9947.8476344148,0.0938,1,0.74,NA,41.74144,-112.14393,4605750
"110",2837,2014,22,633,3421.62162162162,0.25,1,0.74,NA,41.74144,-112.14393,4605750
"111",2838,2012,31,788,8518.91891891892,0.125,1,0.74,NA,40.88197,-110.89472,7888084
"112",2839,2012,48,607,13124.3243243243,0.0625,1,0.74,NA,40.93032,-110.74007,7887988
"113",2839,2021,41,662,14313.5135135135,0.0625,1,0.74,NA,40.93032,-110.74007,7887988
"114",2840,2012,20,561,4851.89189189189,0.15625,1,0.74,NA,41.88828,-112.18816,4603918
"115",2840,2021,28,604,816.216216216216,1,1,0.74,NA,41.88828,-112.18816,4603918
"116",2841,2012,45,607,5248.05035361657,0.1563,1,0.74,NA,40.86129,-110.96513,7888102
"117",2842,2012,38,807,11626.2317754855,0.0938,1,0.74,NA,41.41847,-111.82974,667018
"118",2843,2012,45,680,7351.35135135135,0.125,1,0.74,NA,40.8286142,-110.8550742,7888168
"119",2843,2021,40,639,3454.05405405405,0.25,1,0.74,NA,40.8286142,-110.8550742,7888168
"120",2845,2012,36,800.5,3468.01801801802,0.59375,1,0.74,NA,41.53053,-111.13806,7879698
"121",2845,2014,21,620,13405.4054054054,0.0625,1,0.74,NA,41.53053,-111.13806,7879698
"122",2846,2012,43,757,5455.85585585586,0.1875,1,0.74,NA,41.88612,-111.57983,664172
"123",2847,2012,17,692,2493.69369369369,0.375,1,0.74,NA,41.95541,-112.20578,946010099
"124",2848,2012,23,550,1486.48648648649,0.5,1,0.74,NA,41.72146,-111.94647,664556
"125",2848,2021,8,22,29.7297297297297,1,1,0.74,NA,41.72146,-111.94647,664556
"126",2849,2012,51,685,9868.61061487927,0.0938,1,0.74,NA,41.87239,-111.56559,664184
"127",2850,2012,39,736,15913.5135135135,0.0625,1,0.74,NA,41.56826,-111.853,664976
"128",2851,2012,17,225,304.054054054054,1,1,0.74,NA,41.83572,-111.98356,4564478
"129",2852,2012,50,668,7221.62162162162,0.125,1,0.74,NA,41.61663,-111.64425,664798
"130",2853,2012,43,703,3800,0.25,1,0.74,NA,41.52843,-111.79517,665018
"131",2854,2012,43,673,11629.9163613742,0.0782,1,0.74,NA,41.08924,-111.09796,7883358
"132",2855,2012,48,729,9004.891546025,0.1094,1,0.74,NA,41.86499,-111.78093,4564446
"133",2856,2014,13,633,1710.81081081081,0.5,1,0.74,NA,41.99128,-112.21546,946010095
"134",2857,2012,34,773,11136.4029274477,0.0938,1,0.74,NA,41.78625,-112.13718,4604230
"135",2858,2012,40,675,7297.2972972973,0.125,1,0.74,NA,41.9268,-111.61427,664154
"136",2859,2012,35,778,1401.8018018018,0.75,1,0.74,NA,41.73529,-111.80951,664436
"137",2860,2012,43,864,4670.27027027027,0.25,1,0.74,NA,41.70177,-111.84214,664552
"138",2861,2012,15,699,2518.91891891892,0.375,1,0.74,NA,41.69923,-112.16242,4605750
"139",2862,2014,34,647,6994.5945945946,0.125,1,0.74,NA,41.95899,-111.69066,4563152
"140",2863,2012,33,728,8575,0.53125,1,0.74,NA,41.50612,-111.36624,7879760
"141",2863,2014,28,738,7978.37837837838,0.125,1,0.74,NA,41.50612,-111.36624,7879760
"142",2864,2012,38,634,13708.1081081081,0.0625,1,0.74,NA,40.90193,-110.8304,7888058
"143",2865,2012,17,476,643.243243243243,1,1,0.74,NA,41.90732,-112.00335,946010088
"144",2866,2012,46,809,8745.94594594595,0.125,1,0.74,NA,41.66251,-111.63615,664670
"145",2866,2021,49,656,7091.89189189189,0.125,1,0.74,NA,41.66251,-111.63615,664670
"146",2867,2012,45,801,8659.45945945946,0.125,1,0.74,NA,41.50911,-111.66919,665090
"147",2868,2012,12,640,6918.91891891892,0.125,1,0.74,NA,41.7449,-111.74944,666130
"148",2868,2021,35,802,17340.5405405405,0.0625,1,0.74,NA,41.7449,-111.74944,666130
"149",2869,2012,17,382,516.216216216216,1,1,0.74,NA,41.94205,-112.19727,946010103
"150",2870,2012,24,763,4124.32432432432,0.25,1,0.74,NA,41.89654,-111.13205,7879144
"151",2872,2012,21,999,5400,0.25,1,0.74,NA,41.60802,-112.14838,4604926
"152",2873,2012,6,643,5559.30210440767,0.1563,1,0.74,NA,41.67086,-112.23604,4604666
"153",2874,1998,44,517,3939.04761904762,0.4375,1,0.3,300,40.9969,-110.8708,7887828
"154",2874,2000,32,474,1580,1,1,0.3,300,40.9969,-110.8708,7887828
"155",2874,2001,34,241,863.799283154122,1,1,0.279,500,40.9969,-110.8708,7887828
"156",2874,2003,34,465.5,1551.66666666667,1,1,0.3,300,40.9969,-110.8708,7887828
"157",2874,2004,26,358,1193.33333333333,1,1,0.3,300,40.9969,-110.8708,7887828
"158",2874,2005,35,590,5244.44444444444,0.375,1,0.3,300,40.9969,-110.8708,7887828
"159",2875,2008,48,723,1736.93693693694,0.5625,1,0.74,NA,40.91277778,-110.8288889,7888014
"160",2876,2002,18,539,3636.17474416913,0.5313,1,0.279,500,41.2781,-112.0917,10273232
"161",2877,2009,16,433,585.135135135135,1,1,0.74,NA,41.27805556,-112.091667,10273232
"162",2878,1998,24,513,6840,0.25,1,0.3,300,41.2514,-112.045,10273236
"163",2878,1999,18,553,14746.6666666667,0.125,1,0.3,300,41.2514,-112.045,10273236
"164",2879,2009,23,723,4466.40926640927,0.21875,1,0.74,NA,41.2513889,-112.045,10273236
"165",2882,1999,33,635,2709.15994709672,0.7813,1,0.3,300,41.1369,-111.4931,10089636
"166",2883,2013,47.5,675.5,7267.56756756757,0.53125,1,0.74,NA,41.39371,-111.92187,10273810
"167",2884,2013,39,725,4498.64864864865,0.5625,1,0.74,500,40.8414,-111.58599,10276786
"168",2885,2013,24.5,927,4600.89225501893,0.57815,1,0.74,NA,40.983,-111.4506,10092062
"169",2886,2013,47.5,646.5,1830.94594594595,0.65625,1,0.74,NA,41.00542,-111.74715,10275958
"170",2887,2013,25,593.5,1044.45945945946,0.8125,1,0.74,NA,40.76892,-111.37671,10093080
"171",2888,2013,35,723,3131.98198198198,0.59375,1,0.74,NA,40.97501,-111.67271,10276542
"172",2889,2013,25,859,1160.81081081081,1,1,0.74,NA,41.26631,-111.67947,10274270
"173",2890,2013,36.5,662.5,4405.85762928283,0.2032,1,0.74,NA,40.94197,-111.41782,10092130
"174",2891,2013,35,624,13491.8918918919,0.0625,1,0.74,NA,40.74812,-111.22552,10092458
"175",2892,2013,42,609,7522.6048717822,0.1094,1,0.74,NA,41.0692,-111.26719,10090784
"176",2893,2013,41,752,16259.4594594595,0.0625,1,0.74,NA,40.74897,-111.22153,10093106
"177",2894,2013,28,579,2503.78378378378,0.3125,1,0.74,NA,41.04921,-111.60372,10274922
"178",2895,2013,30,689,7448.64864864865,0.125,1,0.74,NA,40.7375,-111.55235,10276848
"179",2896,2013,26,649,1336.3203215405,0.6563,1,0.74,NA,41.23586,-111.95399,10274376
"180",2897,2013,47,591,3194.59459459459,0.25,1,0.74,NA,40.62786,-111.18049,10092664
"181",2898,2013,35,649,7016.21621621622,0.125,1,0.74,NA,41.02037,-111.3633,10089922
"182",2899,2013,53,676,7308.10810810811,0.125,1,0.74,NA,40.91825,-111.73653,10276628
"183",2900,2013,44,582,2795.89934762349,0.2813,1,0.74,NA,40.92126,-111.32453,10092172
"184",2901,2013,31,744,8043.24324324324,0.125,1,0.74,NA,40.88684,-111.08016,10092308
"185",2902,2013,42,694,8572.55793270419,0.1094,1,0.74,NA,41.3662,-111.59122,10273884
"186",2903,2013,39,817,17664.8648648649,0.0625,1,0.74,NA,40.77065,-111.10477,10092438
"187",2905,2013,44,818,14153.7183790705,0.0781,1,0.74,NA,40.95541,-111.216,10092100
"188",2907,2013,33,746,12924.4629244629,0.078,1,0.74,NA,40.7112,-111.51419,10276860
"189",2908,2013,45,801,17318.9189189189,0.0625,1,0.74,NA,41.16802,-111.42793,10089466
"190",2909,2013,27,690,13244.7788697789,0.0704,1,0.74,NA,41.13768,-111.86101,10274598
"191",2910,2013,23,589,3316.44144144144,0.24,1,0.74,NA,41.23701,-111.92083,10274360
"192",2911,2013,21,694,15005.4054054054,0.0625,1,0.74,NA,41.11543,-111.76709,10276016
"193",2912,2013,37,787,4254.05405405405,0.25,1,0.74,NA,40.64217,-111.27878,10092640
"194",2913,2013,29,634,13708.1081081081,0.0625,1,0.74,NA,41.02518,-111.35258,10089860
"195",2915,2013,50,671,3868.41619776773,0.2344,1,0.74,NA,40.90936,-111.23698,10092194
"196",2916,2013,31,597,4302.7027027027,0.1875,1,0.74,NA,40.98863,-111.02608,10092074
"197",2917,2013,48,687,3713.51351351351,0.25,1,0.74,NA,41.23918,-111.83493,10274380
"198",2918,2013,43,1005,14478.7644787645,0.0938,1,0.74,NA,40.82365,-111.47282,10092332
"199",2919,2013,19,664,1794.59459459459,0.5,1,0.74,NA,40.792,-110.98966,10094066
"200",2921,2013,29,952,1286.48648648649,1,1,0.74,NA,41.2529,-112.04972,10273236
"201",2923,2013,16,618,10693.151538222,0.0781,1,0.74,NA,41.17822,-111.40436,10089434
"202",2924,2013,30,694,15005.4054054054,0.0625,1,0.74,NA,41.13725,-111.82336,10274606
"203",2925,2013,26,657,5680.34445193754,0.1563,1,0.74,NA,41.18217,-111.99201,10274528
"204",2926,2013,35,900,6486.48648648649,0.1875,1,0.74,NA,40.75381,-111.38241,10093086
"205",2927,2013,39,610,2198.1981981982,0.375,1,0.74,NA,40.70925,-111.29826,10092528
"206",2929,2001,27,530,20252.0423993703,0.0938,1,0.279,300,41.2289,-111.9983,10274468
"207",2929,2013,28,643,5559.30210440767,0.1563,1,0.74,NA,41.2289,-111.9983,10274468
"208",2930,1998,25,656,12054.3917677325,0.1814,1,0.3,300,41.2361,-112.0011,10272860
"209",2930,1999,27,538,6375.16293399692,0.2813,1,0.3,300,41.2361,-112.0011,10272860
"210",2931,2009,33,1013,21902.7027027027,0.0625,1,0.74,NA,41.2341,-111.97823,10274376
"211",2932,2008,21,557,4014.41441441441,0.1875,1,0.74,NA,41.23680556,-111.9418056,10274376
"212",2933,2009,27,605,13081.0810810811,0.0625,1,0.74,NA,41.23818,-111.9352,10274376
"213",2934,1998,32,618,8240,0.25,1,0.3,300,41.2686,-111.6733,10274270
"214",2934,1999,34,519,27680,0.0625,1,0.3,300,41.2686,-111.6733,10274270
"215",2934,2002,42,778,10373.3333333333,0.25,1,0.3,500,41.2686,-111.6733,10274270
"216",2935,2013,34,810,4378.37837837838,0.25,1,0.74,NA,41.03238,-111.69144,10274954
"217",2936,2008,39,536,5794.5945945946,0.125,1,0.74,NA,41.00233333,-111.6791667,10275040
"218",2937,2002,33,651,34720,0.0625,1,0.3,500,40.9369,-111.6378,10276602
"219",2937,2003,30,686,4573.33333333333,0.5,1,0.3,300,40.9369,-111.6378,10276602
"220",2937,2004,22,687,13132.6164874552,0.1875,1,0.279,300,40.9369,-111.6378,10276602
"221",2938,2007,23.5,629,10890.3040241068,0.07805,1,0.74,500,40.86911347,-111.5863206,10276740
"222",2940,2000,25,590,7866.66666666667,0.25,1,0.3,300,40.768333,-111.583056,10276836
"223",2940,2001,21,617,11794.504181601,0.1875,1,0.279,300,40.768333,-111.583056,10276836
"224",2940,2002,26,819.5,4017.9211469534,0.75,1,0.279,265,40.768333,-111.583056,10276836
"225",2940,2003,22,733,30093.3333333333,0.09375,1,0.3,300,40.768333,-111.583056,10276836
"226",2940,2005,27,617,29255.5713608345,0.0703,1,0.3,300,40.768333,-111.583056,10276836
"227",2941,2000,21,537,4773.33333333333,0.375,1,0.3,300,40.755,-111.563056,10277304
"228",2941,2001,26,507,14537.6344086021,0.125,1,0.279,300,40.755,-111.563056,10277304
"229",2941,2002,13,487.5,9336.91756272401,0.5625,1,0.279,265,40.755,-111.563056,10277304
"230",2941,2003,21,612,5440,0.375,1,0.3,300,40.755,-111.563056,10277304
"231",2941,2004,20,612,21748.4008528785,0.0938,1,0.3,300,40.755,-111.563056,10277304
"232",2941,2005,18,678,20677.0356816102,0.1093,1,0.3,300,40.755,-111.563056,10277304
"233",2941,2006,21,670,35733.3333333333,0.0625,1,0.3,500,40.755,-111.563056,10277304
"234",2942,2012,29,652,4699.0990990991,0.1875,1,0.74,NA,40.74567,-111.5601,10276842
"235",2944,2012,34,732,5275.67567567568,0.1875,1,0.74,NA,40.72798,-111.535,10276848
"236",2945,2000,34,555,8085.66433566434,0.2288,1,0.3,300,40.7225,-111.5178,10276860
"237",2945,2001,25,512,14681.0035842294,0.125,1,0.279,300,40.7225,-111.5178,10276860
"238",2945,2002,28,636.5,9125.44802867383,0.25,1,0.279,265,40.7225,-111.5178,10276860
"239",2945,2003,26,674,8986.66666666667,0.25,1,0.3,300,40.7225,-111.5178,10276860
"240",2945,2005,25,649,17306.6666666667,0.125,1,0.3,300,40.7225,-111.5178,10276860
"241",2946,2008,31,684,14789.1891891892,0.0625,1,0.74,NA,40.71722222,-111.5163889,10276860
"242",2947,2006,22,744,19840,0.125,1,0.3,500,40.887778,-111.517222,10277296
"243",2948,2013,32,729,14073.3590733591,0.07,1,0.74,NA,41.0525,-111.704583,10274894
"244",2949,2003,25,657,5840,0.375,1,0.3,300,41.0574,-111.7175,10274864
"245",2951,2022,29,681,11780.2133931166,0.07812,1,0.74,500,41.07022034,-111.5210423,10089748
"246",2953,2005,17,614,32746.6666666667,0.0625,1,0.3,300,41.039722,-111.513889,10090878
"247",2955,2005,41,610,32533.3333333333,0.0625,1,0.3,300,40.0125,-111.370611,10349598
"248",2956,2002,21,616,2207.8853046595,1,1,0.279,30,40.9714,-111.4369,10092060
"249",2956,2003,31,808,3591.11111111111,0.75,1,0.3,300,40.9714,-111.4369,10092060
"250",2956,2004,31,726,38720,0.0625,1,0.3,300,40.9714,-111.4369,10092060
"251",2956,2005,28,602,16053.3333333333,0.125,1,0.3,300,40.9714,-111.4369,10092060
"252",2957,2006,21,602,16053.3333333333,0.125,1,0.3,500,40.990833,-111.407778,10092022
"253",2958,2006,32,618,16480,0.125,1,0.3,500,41.029722,-111.505556,10090792
"254",2958,2007,36,658,14227.027027027,0.0625,1,0.74,500,41.029722,-111.505556,10090792
"255",2960,2002,32,1184,15786.6666666667,0.25,1,0.3,500,40.9278,-111.2961,10092170
"256",2960,2011,26,696,2494.62365591398,1,1,0.279,NA,40.9278,-111.2961,10092170
"257",2961,1998,30,528,14080,0.125,1,0.3,300,40.9325,-111.291667,10092140
"258",2961,1999,33,525,20348.8372093023,0.086,1,0.3,300,40.9325,-111.291667,10092140
"259",2961,2000,34.5,503,7699.04761904762,0.5,1,0.3,300,40.9325,-111.291667,10092140
"260",2961,2001,32.5,535,20912.7837514934,0.125,1,0.279,400,40.9325,-111.291667,10092140
"261",2961,2003,42.5,775,7096.91651432054,0.4844,1,0.3,300,40.9325,-111.291667,10092140
"262",2961,2004,31,619,3301.33333333333,0.625,1,0.3,300,40.9325,-111.291667,10092140
"263",2961,2005,30,698,9306.66666666667,0.25,1,0.3,300,40.9325,-111.291667,10092140
"264",2961,2006,28,611,6517.33333333333,0.3125,1,0.3,500,40.9325,-111.291667,10092140
"265",2961,2013,46,652,5637.11504210545,0.1563,1,0.74,NA,40.9325,-111.291667,10092140
"266",2961,2022,38,665,4792.79279279279,0.1875,1,0.74,500,40.9325,-111.291667,10092140
"267",2963,2008,33,568,8187.38738738739,0.09375,1,0.74,NA,40.92777778,-111.2961111,10092170
"268",2964,2001,36,689,6585.42413381123,0.375,1,0.279,300,40.9203,-111.4019,10093066
"269",2964,2022,30,445,601.351351351351,1,1,0.74,500,40.9203,-111.4019,10093066
"270",2965,1999,31,554,13256.5427584806,0.14845,1,0.3,300,40.9206,-111.4006,10093066
"271",2965,2000,31.5,509.5,15333.3333333333,0.25,1,0.3,300,40.9206,-111.4006,10093066
"272",2965,2001,37,560,16057.3476702509,0.125,1,0.279,500,40.9206,-111.4006,10093066
"273",2965,2002,20,647,18551.9713261649,0.125,1,0.279,500,40.9206,-111.4006,10093066
"274",2965,2003,35.5,665,6793.33333333333,0.375,1,0.3,300,40.9206,-111.4006,10093066
"275",2965,2004,35,587,1956.66666666667,1,1,0.3,300,40.9206,-111.4006,10093066
"276",2965,2005,37,622,8293.33333333333,0.25,1,0.3,300,40.9206,-111.4006,10093066
"277",2966,2022,41,652,1566.36636636637,0.5625,1,0.74,500,40.92693664,-111.2795436,10092152
"278",2967,1998,34,513,6840,0.25,1,0.3,300,40.9589,-111.1175,10093054
"279",2967,1999,37,517,8042.22222222222,0.21875,1,0.3,300,40.9589,-111.1175,10093054
"280",2967,2000,32.5,543.5,4660,0.5,1,0.3,300,40.9589,-111.1175,10093054
"281",2967,2001,40,534,9741.93548387097,0.3125,1,0.279,400,40.9589,-111.1175,10093054
"282",2967,2002,35.5,562.5,3933.45878136201,0.65625,1,0.2895,500,40.9589,-111.1175,10093054
"283",2967,2003,33,383,1276.66666666667,1,1,0.3,300,40.9589,-111.1175,10093054
"284",2968,2005,41,486,1620,1,1,0.3,300,40.958889,-111.1175,10093054
"285",2968,2022,44,744,4021.62162162162,0.25,1,0.74,500,40.958889,-111.1175,10093054
